source_system,recon_reference,transaction_id,account_id,booking_date,amount,currency,status
PaymentProcessorA,REC-A-TXN00006253,TXN00006253,ACC000356,2026-05-29,29.14,GBP,Completed
PaymentProcessorA,REC-A-TXN00004685,TXN00004685,ACC001112,2026-04-04,16.02,GBP,Pending
PaymentProcessorA,REC-A-TXN00001732,TXN00001732,ACC000942,2026-02-25,8.05,GBP,Completed
PaymentProcessorA,REC-A-TXN00004743,TXN00004743,ACC000187,2026-01-18,193.2,USD,Completed
PaymentProcessorA,REC-A-TXN00004522,TXN00004522,ACC000713,2026-02-22,46.67,GBP,Completed
PaymentProcessorA,REC-A-TXN00006341,TXN00006341,ACC000080,2026-05-27,6.09,GBP,Completed
PaymentProcessorA,REC-A-TXN00000577,TXN00000577,ACC000034,2026-06-18,163.37,GBP,Completed
PaymentProcessorA,REC-A-TXN00005203,TXN00005203,ACC000884,2026-01-19,46.51,EUR,Completed
PaymentProcessorA,REC-A-TXN00006364,TXN00006364,ACC000408,2026-04-15,91.16,GBP,Completed
PaymentProcessorA,REC-A-TXN00000440,TXN00000440,ACC001057,2026-05-05,29.34,USD,Completed
PaymentProcessorA,REC-A-TXN00002751,TXN00002751,ACC000155,2026-06-01,72.34,GBP,Completed
PaymentProcessorA,REC-A-TXN00007488,TXN00007488,ACC000690,2026-03-07,9.99,GBP,Completed
PaymentProcessorA,REC-A-TXN00005273,TXN00005273,ACC000639,2026-02-28,26.4,GBP,Completed
PaymentProcessorA,REC-A-TXN00005654,TXN00005654,ACC000671,2026-07-07,20.77,GBP,Completed
PaymentProcessorA,REC-A-TXN00004000,TXN00004000,ACC000523,2026-05-31,53.97,GBP,Completed
PaymentProcessorA,REC-A-TXN00006034,TXN00006034,ACC001290,2026-02-15,146.9,GBP,Completed
PaymentProcessorA,REC-A-TXN00000583,TXN00000583,ACC000618,2026-03-16,41.65,GBP,Completed
PaymentProcessorA,REC-A-TXN00009931,TXN00009931,ACC001159,2026-05-22,9.1,GBP,Completed
PaymentProcessorA,REC-A-TXN00007052,TXN00007052,ACC000342,2026-03-24,17.18,GBP,Completed
PaymentProcessorA,REC-A-TXN00008159,TXN00008159,ACC000210,2026-05-11,15.09,GBP,Completed
PaymentProcessorA,REC-A-TXN00009897,TXN00009897,ACC000847,2026-04-14,28.16,GBP,Completed
PaymentProcessorA,REC-A-TXN00002250,TXN00002250,ACC000966,2026-01-23,21.63,GBP,Completed
PaymentProcessorA,REC-A-TXN00004641,TXN00004641,ACC000020,2026-03-11,16.38,GBP,Completed
PaymentProcessorA,REC-A-TXN00009486,TXN00009486,ACC001074,2026-04-15,23.21,GBP,Completed
PaymentProcessorA,REC-A-TXN00004948,TXN00004948,ACC000647,2026-02-22,40.36,GBP,Completed
PaymentProcessorA,REC-A-TXN00009921,TXN00009921,ACC001299,2026-01-16,34.4,GBP,Completed
PaymentProcessorA,REC-A-TXN00001964,TXN00001964,ACC000790,2026-06-02,5840.77,GBP,Completed
PaymentProcessorA,REC-A-TXN00008244,TXN00008244,ACC000849,2026-04-10,36.26,GBP,Failed
PaymentProcessorA,REC-A-TXN00006591,TXN00006591,ACC001095,2026-06-29,28.28,GBP,Completed
PaymentProcessorA,REC-A-TXN00008848,TXN00008848,ACC000612,2026-04-27,34.33,EUR,Completed
PaymentProcessorA,REC-A-TXN00000322,TXN00000322,ACC001269,2026-01-21,55.31,GBP,Pending
PaymentProcessorA,REC-A-TXN00002679,TXN00002679,ACC000860,2026-05-16,16.95,EUR,Completed
PaymentProcessorA,REC-A-TXN00004626,TXN00004626,ACC000540,2026-02-11,4.71,GBP,Pending
