transaction_id,transaction_timestamp,customer_id,account_id,merchant_id,merchant_category,customer_country,merchant_country,amount,currency,channel,transaction_type,status,cross_border_flag,high_amount_flag,unusual_hour_flag,high_risk_category_flag,high_risk_country_flag,kyc_issue_flag,pep_flag,suspicious_label
TXN00000001,2026-03-18T08:25:35,CUST000934,ACC000845,MER000142,Fuel,Singapore,Turkey,60.14,USD,Branch,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000002,2026-01-21T09:15:17,CUST000558,ACC000294,MER000133,Electronics,Canada,Italy,31.87,GBP,Card Present,Transfer,Completed,1,0,0,0,0,0,0,0
TXN00000003,2026-03-03T19:16:55,CUST000351,ACC000406,MER000119,Online Marketplace,United Kingdom,Italy,69.94,GBP,Card Present,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000004,2026-04-10T04:25:52,CUST000082,ACC000670,MER000209,Gambling,Italy,Turkey,167.84,GBP,Branch,Purchase,Completed,1,0,1,1,1,0,0,1
TXN00000005,2026-04-13T02:47:50,CUST000026,ACC000036,MER000145,Crypto Exchange,United Arab Emirates,Turkey,28.96,GBP,Branch,Purchase,Completed,1,0,1,1,1,0,0,1
TXN00000006,2026-02-18T20:22:11,CUST000260,ACC001253,MER000008,Online Marketplace,Canada,India,28.96,USD,E-Commerce,Purchase,Completed,1,0,0,0,0,0,1,1
TXN00000007,2026-03-22T08:15:31,CUST000830,ACC000478,MER000237,Fuel,Singapore,Turkey,177.54,GBP,Mobile Banking,Purchase,Completed,1,0,0,0,1,1,0,1
TXN00000008,2026-07-07T19:40:06,CUST000851,ACC000748,MER000180,Travel,Turkey,United States,78.84,GBP,Branch,Purchase,Failed,1,0,0,0,1,0,0,0
TXN00000009,2026-06-12T19:14:46,CUST000642,ACC000302,MER000194,Luxury Goods,Netherlands,France,22.89,GBP,Branch,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000010,2026-02-20T17:50:38,CUST000021,ACC000622,MER000150,Gambling,Canada,Germany,62.96,GBP,API,Transfer,Completed,1,0,0,1,0,0,0,0
TXN00000011,2026-06-25T09:53:12,CUST000277,ACC000746,MER000081,Electronics,Italy,United Arab Emirates,23.03,GBP,ATM,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000012,2026-03-06T07:52:45,CUST000604,ACC000610,MER000166,Groceries,Singapore,United Kingdom,22.97,GBP,Branch,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000013,2026-06-11T07:18:45,CUST000204,ACC000825,MER000152,Luxury Goods,France,Germany,46.62,GBP,Mobile Banking,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000014,2026-04-29T19:11:53,CUST000979,ACC000281,MER000039,Gambling,Canada,Canada,5.4,GBP,E-Commerce,Purchase,Completed,0,0,0,1,0,0,0,0
TXN00000015,2026-01-16T04:00:46,CUST000331,ACC000895,MER000047,Groceries,United Kingdom,Nigeria,6.52,GBP,ATM,Purchase,Completed,1,0,1,0,1,0,0,1
TXN00000016,2026-05-05T14:46:56,CUST000626,ACC000235,MER000207,Luxury Goods,Canada,Spain,1623.44,EUR,API,Purchase,Completed,1,1,0,1,0,0,0,1
TXN00000017,2026-02-23T15:37:18,CUST000053,ACC001056,MER000118,Luxury Goods,India,India,50.11,GBP,E-Commerce,Purchase,Completed,0,0,0,1,0,0,0,0
TXN00000018,2026-02-22T18:28:00,CUST000646,ACC000374,MER000025,Restaurants,Turkey,United Arab Emirates,14.76,GBP,ATM,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000019,2026-06-13T18:15:22,CUST000907,ACC001142,MER000231,Groceries,United States,Spain,8.91,GBP,ATM,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000020,2026-06-23T02:43:58,CUST000297,ACC000101,MER000209,Gambling,Singapore,Turkey,158.48,EUR,Mobile Banking,Purchase,Completed,1,0,1,1,1,0,0,1
TXN00000021,2026-04-11T04:10:36,CUST000124,ACC000925,MER000243,Groceries,Nigeria,Italy,29.2,USD,ATM,Refund,Failed,1,0,1,0,1,0,0,1
TXN00000022,2026-05-28T18:52:22,CUST000383,ACC001067,MER000239,Crypto Exchange,Italy,France,1267.94,GBP,Card Present,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000023,2026-05-24T08:07:18,CUST000683,ACC000663,MER000213,Pharmacy,Nigeria,Spain,21.23,GBP,Branch,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000024,2026-01-20T02:25:33,CUST000087,ACC000045,MER000131,Crypto Exchange,Nigeria,Turkey,40.89,GBP,API,Purchase,Completed,1,0,1,1,1,0,0,1
TXN00000025,2026-02-12T22:43:29,CUST000155,ACC000335,MER000186,Subscription,India,Germany,11.58,GBP,API,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000026,2026-06-19T02:16:16,CUST000364,ACC000105,MER000183,Luxury Goods,Netherlands,United States,53.29,GBP,Card Present,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000027,2026-01-16T03:08:09,CUST000255,ACC001115,MER000125,Cash Withdrawal,France,Netherlands,20.07,GBP,Branch,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000028,2026-06-30T00:43:57,CUST000472,ACC000862,MER000047,Groceries,Turkey,Nigeria,27.34,GBP,Mobile Banking,Transfer,Completed,1,0,1,0,1,0,0,1
TXN00000029,2026-02-05T07:42:06,CUST000560,ACC000098,MER000185,Gambling,Pakistan,United States,20.05,GBP,Mobile Banking,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000030,2026-06-01T09:05:35,CUST000157,ACC000625,MER000027,Electronics,United States,Turkey,233.29,GBP,API,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000031,2026-05-16T12:08:58,CUST000129,ACC000190,MER000129,Subscription,France,Turkey,36.11,GBP,ATM,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000032,2026-06-03T04:14:45,CUST000447,ACC000005,MER000067,Groceries,Netherlands,Italy,12.71,GBP,Branch,Purchase,Completed,1,0,1,0,0,0,0,0
TXN00000033,2026-06-13T01:45:35,CUST000092,ACC000615,MER000019,Groceries,Nigeria,Netherlands,83.31,USD,E-Commerce,Purchase,Completed,1,0,1,0,1,0,0,1
TXN00000034,2026-03-29T17:29:10,CUST000615,ACC000335,MER000211,Hotels,United Kingdom,Netherlands,10.8,GBP,Branch,Transfer,Completed,1,0,0,0,0,0,0,0
TXN00000035,2026-02-19T04:36:58,CUST000255,ACC001115,MER000236,Luxury Goods,France,United States,45.1,GBP,API,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000036,2026-06-04T12:35:44,CUST000929,ACC000055,MER000193,Online Marketplace,Netherlands,Italy,5.16,GBP,Mobile Banking,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000037,2026-02-16T07:17:29,CUST000714,ACC000197,MER000071,Luxury Goods,Singapore,United Arab Emirates,3354.7,GBP,API,Purchase,Pending,1,1,0,1,0,0,0,1
TXN00000038,2026-01-13T12:04:49,CUST000766,ACC000592,MER000198,Pharmacy,United States,Turkey,76.59,GBP,ATM,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000039,2026-02-20T16:37:06,CUST000980,ACC000006,MER000222,Cash Withdrawal,Netherlands,Canada,43.44,GBP,Mobile Banking,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000040,2026-05-25T08:02:59,CUST000108,ACC000314,MER000215,Crypto Exchange,United States,Spain,32.6,USD,ATM,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000041,2026-03-31T22:03:48,CUST000633,ACC000510,MER000179,Cash Withdrawal,United Kingdom,Spain,27.08,GBP,ATM,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000042,2026-05-06T09:51:41,CUST000914,ACC000218,MER000084,Luxury Goods,Turkey,France,8.34,GBP,Card Present,Purchase,Completed,1,0,0,1,1,0,0,1
TXN00000043,2026-03-11T09:27:39,CUST000696,ACC000370,MER000015,Money Transfer,Spain,Nigeria,17.82,USD,API,Purchase,Completed,1,0,0,1,1,0,0,1
TXN00000044,2026-06-26T12:49:45,CUST000486,ACC000570,MER000109,Groceries,Nigeria,Nigeria,23.09,GBP,ATM,Cash Withdrawal,Completed,0,0,0,0,1,1,0,0
TXN00000045,2026-01-27T16:36:51,CUST000322,ACC000556,MER000106,Gambling,Singapore,United States,105.33,GBP,Mobile Banking,Purchase,Completed,1,0,0,1,0,0,1,1
TXN00000046,2026-01-25T00:07:04,CUST000498,ACC000016,MER000013,Crypto Exchange,Netherlands,Canada,1035.02,GBP,Mobile Banking,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000047,2026-04-05T22:48:06,CUST000184,ACC000336,MER000076,Luxury Goods,Canada,United States,50.61,GBP,API,Transfer,Completed,1,0,0,1,0,0,0,0
TXN00000048,2026-03-22T12:33:23,CUST000442,ACC000136,MER000106,Gambling,Nigeria,United States,24.9,EUR,Mobile Banking,Purchase,Completed,1,0,0,1,1,0,0,1
TXN00000049,2026-07-04T02:14:33,CUST000502,ACC000908,MER000088,Luxury Goods,United Kingdom,Singapore,18.6,USD,Mobile Banking,Transfer,Completed,1,0,1,1,0,0,0,1
TXN00000050,2026-04-08T11:51:58,CUST000519,ACC000676,MER000109,Groceries,Turkey,Nigeria,67.47,EUR,E-Commerce,Transfer,Completed,1,0,0,0,1,1,0,1
TXN00000051,2026-06-14T08:03:02,CUST000429,ACC000194,MER000180,Travel,Spain,United States,102.62,GBP,Mobile Banking,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000052,2026-05-25T17:32:14,CUST000712,ACC001032,MER000109,Groceries,Italy,Nigeria,92.88,GBP,Branch,Purchase,Completed,1,0,0,0,1,0,0,0
TXN00000053,2026-04-22T01:38:59,CUST000711,ACC000505,MER000080,Cash Withdrawal,Italy,Spain,15.81,GBP,Card Present,Purchase,Completed,1,0,1,1,0,0,0,1
TXN00000054,2026-03-05T12:08:32,CUST000103,ACC000837,MER000096,Fuel,United Arab Emirates,United Kingdom,26.86,GBP,Branch,Refund,Completed,1,0,0,0,0,0,0,0
TXN00000055,2026-02-11T04:17:53,CUST000927,ACC001100,MER000004,Restaurants,Germany,Pakistan,50.97,GBP,ATM,Purchase,Completed,1,0,1,0,0,0,0,0
TXN00000056,2026-04-11T05:43:33,CUST000178,ACC001209,MER000153,Fuel,India,Spain,97.08,EUR,Mobile Banking,Purchase,Reversed,1,0,0,0,0,0,0,0
TXN00000057,2026-03-25T18:33:37,CUST000419,ACC000192,MER000219,Money Transfer,Netherlands,United Kingdom,22.67,GBP,E-Commerce,Purchase,Completed,1,0,0,1,0,1,0,1
TXN00000058,2026-04-13T22:05:37,CUST000235,ACC001164,MER000088,Luxury Goods,United Arab Emirates,Singapore,30.4,GBP,ATM,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000059,2026-03-02T15:24:15,CUST000998,ACC000346,MER000095,Subscription,United Arab Emirates,Netherlands,12.11,GBP,ATM,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000060,2026-05-04T19:40:40,CUST000333,ACC000535,MER000093,Money Transfer,France,Spain,11.07,USD,Mobile Banking,Purchase,Completed,1,0,0,1,0,1,0,1
TXN00000061,2026-05-22T18:36:15,CUST000668,ACC000957,MER000087,Subscription,United States,Italy,82.48,USD,E-Commerce,Transfer,Reversed,1,0,0,0,0,0,0,0
TXN00000062,2026-06-20T06:14:26,CUST000293,ACC000738,MER000175,Restaurants,Pakistan,Netherlands,142.06,GBP,E-Commerce,Purchase,Completed,1,0,0,0,0,0,0,0
TXN00000063,2026-05-23T03:08:59,CUST000657,ACC000341,MER000126,Online Marketplace,Germany,France,34.06,GBP,Card Present,Transfer,Completed,1,0,1,0,0,0,0,0
TXN00000064,2026-06-24T00:52:59,CUST000013,ACC001112,MER000016,Subscription,Turkey,United Kingdom,99.84,USD,Card Present,Purchase,Completed,1,0,1,0,1,0,0,1
TXN00000065,2026-05-14T09:56:49,CUST000200,ACC000632,MER000099,Money Transfer,Singapore,Canada,52.54,GBP,E-Commerce,Purchase,Completed,1,0,0,1,0,0,0,0
TXN00000066,2026-07-01T21:52:43,CUST000339,ACC000471,MER000226,Electronics,Pakistan,Germany,19.2,GBP,ATM,Purchase,Completed,1,0,0,0,0,0,0,0
