transaction_id,a_record_count,a_recon_references,a_source_systems,a_account_id,a_booking_date,a_amount,a_currency,a_status,b_record_count,b_recon_references,b_source_systems,b_account_id,b_booking_date,b_amount,b_currency,b_status,amount_difference,absolute_amount_difference,break_type,primary_break_category,is_break,severity,reconciliation_status,case_age_days
TXN00000062,1,REC-A-TXN00000062,PaymentProcessorA,ACC000738,2026-06-20,142.06,GBP,Completed,2,REC-B-TXN00000062; REC-B-TXN00000062-DUP,CoreBankingB,ACC000738,2026-06-20,142.06,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,21
TXN00000694,1,REC-A-TXN00000694,PaymentProcessorA,ACC001262,2026-03-26,51.81,GBP,Completed,2,REC-B-TXN00000694; REC-B-TXN00000694-DUP,CoreBankingB,ACC001262,2026-03-26,51.81,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,107
TXN00001311,1,REC-A-TXN00001311,PaymentProcessorA,ACC000770,2026-03-02,1702.82,GBP,Completed,2,REC-B-TXN00001311; REC-B-TXN00001311-DUP,CoreBankingB,ACC000770,2026-03-02,1702.82,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,131
TXN00001563,1,REC-A-TXN00001563,PaymentProcessorA,ACC000789,2026-06-04,85.86,GBP,Completed,2,REC-B-TXN00001563; REC-B-TXN00001563-DUP,CoreBankingB,ACC000789,2026-06-04,85.86,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,37
TXN00001741,1,REC-A-TXN00001741,PaymentProcessorA,ACC000078,2026-02-15,183.5,GBP,Completed,2,REC-B-TXN00001741; REC-B-TXN00001741-DUP,CoreBankingB,ACC000078,2026-02-15,183.5,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,146
TXN00001982,1,REC-A-TXN00001982,PaymentProcessorA,ACC000132,2026-03-19,33.01,GBP,Completed,2,REC-B-TXN00001982; REC-B-TXN00001982-DUP,CoreBankingB,ACC000132,2026-03-19,33.01,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,114
TXN00002237,1,REC-A-TXN00002237,PaymentProcessorA,ACC001274,2026-05-05,85.55,GBP,Completed,2,REC-B-TXN00002237; REC-B-TXN00002237-DUP,CoreBankingB,ACC001274,2026-05-05,85.55,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,67
TXN00002250,1,REC-A-TXN00002250,PaymentProcessorA,ACC000966,2026-01-23,21.63,GBP,Completed,2,REC-B-TXN00002250; REC-B-TXN00002250-DUP,CoreBankingB,ACC000966,2026-01-23,21.63,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,169
TXN00002336,1,REC-A-TXN00002336,PaymentProcessorA,ACC001084,2026-07-03,13.2,GBP,Completed,2,REC-B-TXN00002336; REC-B-TXN00002336-DUP,CoreBankingB,ACC001084,2026-07-03,13.2,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,8
TXN00003207,1,REC-A-TXN00003207,PaymentProcessorA,ACC001246,2026-06-02,179.44,GBP,Completed,2,REC-B-TXN00003207; REC-B-TXN00003207-DUP,CoreBankingB,ACC001246,2026-06-02,179.44,GBP,Completed,0.0,0.0,DUPLICATE_IN_B,DUPLICATE_IN_B,1,High,Break,39
