edge_id,source_node_id,target_node_id,edge_type,edge_count,total_amount,max_rule_based_risk_score,max_anomaly_score_percentile,edge_risk_score
EDGE-00000001,CUST000621,ACC000001,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000002,CUST000374,ACC000002,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000003,CUST000746,ACC000003,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000004,CUST000357,ACC000004,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000005,CUST000447,ACC000005,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000006,CUST000704,ACC000006,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000007,CUST000785,ACC000007,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000008,CUST000905,ACC000008,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000009,CUST000622,ACC000009,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000010,CUST000840,ACC000010,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000011,CUST000420,ACC000011,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000012,CUST000118,ACC000012,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000013,CUST000221,ACC000013,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000014,CUST000705,ACC000014,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000015,CUST000921,ACC000015,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000016,CUST000223,ACC000016,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000017,CUST000915,ACC000017,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000018,CUST000203,ACC000018,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000019,CUST000123,ACC000019,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000020,CUST000591,ACC000020,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000021,CUST000292,ACC000021,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000022,CUST000041,ACC000022,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000023,CUST000426,ACC000023,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000024,CUST000794,ACC000024,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000025,CUST000506,ACC000025,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000026,CUST000030,ACC000026,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000027,CUST000705,ACC000027,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000028,CUST000832,ACC000028,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000029,CUST000266,ACC000029,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000030,CUST000338,ACC000030,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000031,CUST000948,ACC000031,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000032,CUST000772,ACC000032,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000033,CUST000126,ACC000033,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000034,CUST000330,ACC000034,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000035,CUST000729,ACC000035,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000036,CUST000877,ACC000036,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000037,CUST000687,ACC000037,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000038,CUST000214,ACC000038,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000039,CUST000726,ACC000039,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000040,CUST000225,ACC000040,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000041,CUST000799,ACC000041,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000042,CUST000975,ACC000042,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000043,CUST000763,ACC000043,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000044,CUST000488,ACC000044,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000045,CUST000087,ACC000045,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
EDGE-00000046,CUST000342,ACC000046,OWNS_ACCOUNT,1,0.0,0.0,0.0,0.75
