node_id,node_type,node_label,watchlist_flag,transaction_count,total_transaction_amount,max_rule_based_risk_score,max_anomaly_score_percentile,alert_count,ml_alert_count,suspicious_label_count,node_risk_score,node_risk_band,in_degree,out_degree,total_degree,degree_centrality,pagerank_score,graph_priority_score
MER000236,Merchant,Luxury Goods Merchant 236,0,53.0,23355.579999999998,79.0,95.14,52.0,4.0,21.0,99.85,Critical,53,0,53,0.020792,0.0023116,60.79
MER000185,Merchant,Gambling Merchant 185,1,51.0,7367.51,100.0,99.5,51.0,12.0,20.0,100.0,Critical,50,0,50,0.019616,0.00194291,60.78
MER000222,Merchant,Cash Withdrawal Merchant 222,0,48.0,11034.039999999999,87.0,98.72,47.0,5.0,17.0,100.0,Critical,47,0,47,0.018439,0.00183115,60.74
MER000046,Merchant,Luxury Goods Merchant 046,0,43.0,22485.71,77.0,99.89,40.0,9.0,19.0,100.0,Critical,43,0,43,0.016869,0.0019988,60.74
MER000181,Merchant,Restaurants Merchant 181,0,47.0,13686.9,78.0,99.8,30.0,12.0,18.0,100.0,Critical,45,0,45,0.017654,0.00188931,60.73
MER000164,Merchant,Gambling Merchant 164,0,53.0,6753.849999999999,100.0,99.98,53.0,12.0,51.0,100.0,Critical,52,0,52,0.0204,0.00155547,60.72
MER000021,Merchant,Crypto Exchange Merchant 021,0,50.0,11361.18,91.0,99.64,48.0,8.0,24.0,100.0,Critical,49,0,49,0.019223,0.00166122,60.72
MER000112,Merchant,Crypto Exchange Merchant 112,0,48.0,6370.89,100.0,98.9,48.0,8.0,21.0,100.0,Critical,46,0,46,0.018046,0.00179468,60.72
MER000075,Merchant,Subscription Merchant 075,0,46.0,11114.689999999999,83.0,97.31,12.0,6.0,8.0,100.0,Critical,45,0,45,0.017654,0.00183963,60.72
MER000130,Merchant,Restaurants Merchant 130,0,49.0,6003.62,63.0,99.93,25.0,19.0,15.0,100.0,Critical,49,0,49,0.019223,0.00162982,60.71
MER000209,Merchant,Gambling Merchant 209,0,46.0,8262.01,86.0,99.82,46.0,9.0,45.0,100.0,Critical,46,0,46,0.018046,0.00176413,60.71
MER000057,Merchant,Money Transfer Merchant 057,0,40.0,23545.13,96.0,98.3,38.0,8.0,24.0,100.0,Critical,40,0,40,0.015692,0.00194558,60.7
