centrality_case_id,node_id,node_type,node_label,watchlist_flag,transaction_count,total_transaction_amount,max_rule_based_risk_score,max_anomaly_score_percentile,alert_count,ml_alert_count,suspicious_label_count,node_risk_score,node_risk_band,in_degree,out_degree,total_degree,degree_centrality,pagerank_score,graph_priority_score,recommended_action
CENTRALITY-000001,MER000236,Merchant,Luxury Goods Merchant 236,0,53.0,23355.579999999998,79.0,95.14,52.0,4.0,21.0,99.85,Critical,53,0,53,0.020792,0.0023116,60.79,Review high-risk graph entity and connected transaction network.
CENTRALITY-000002,MER000185,Merchant,Gambling Merchant 185,1,51.0,7367.51,100.0,99.5,51.0,12.0,20.0,100.0,Critical,50,0,50,0.019616,0.00194291,60.78,Review high-risk graph entity and connected transaction network.
CENTRALITY-000003,MER000222,Merchant,Cash Withdrawal Merchant 222,0,48.0,11034.039999999999,87.0,98.72,47.0,5.0,17.0,100.0,Critical,47,0,47,0.018439,0.00183115,60.74,Review high-risk graph entity and connected transaction network.
CENTRALITY-000004,MER000046,Merchant,Luxury Goods Merchant 046,0,43.0,22485.71,77.0,99.89,40.0,9.0,19.0,100.0,Critical,43,0,43,0.016869,0.0019988,60.74,Review high-risk graph entity and connected transaction network.
CENTRALITY-000005,MER000181,Merchant,Restaurants Merchant 181,0,47.0,13686.9,78.0,99.8,30.0,12.0,18.0,100.0,Critical,45,0,45,0.017654,0.00188931,60.73,Review high-risk graph entity and connected transaction network.
CENTRALITY-000006,MER000164,Merchant,Gambling Merchant 164,0,53.0,6753.849999999999,100.0,99.98,53.0,12.0,51.0,100.0,Critical,52,0,52,0.0204,0.00155547,60.72,Review high-risk graph entity and connected transaction network.
CENTRALITY-000007,MER000021,Merchant,Crypto Exchange Merchant 021,0,50.0,11361.18,91.0,99.64,48.0,8.0,24.0,100.0,Critical,49,0,49,0.019223,0.00166122,60.72,Review high-risk graph entity and connected transaction network.
CENTRALITY-000008,MER000112,Merchant,Crypto Exchange Merchant 112,0,48.0,6370.89,100.0,98.9,48.0,8.0,21.0,100.0,Critical,46,0,46,0.018046,0.00179468,60.72,Review high-risk graph entity and connected transaction network.
CENTRALITY-000009,MER000075,Merchant,Subscription Merchant 075,0,46.0,11114.689999999999,83.0,97.31,12.0,6.0,8.0,100.0,Critical,45,0,45,0.017654,0.00183963,60.72,Review high-risk graph entity and connected transaction network.
CENTRALITY-000010,MER000130,Merchant,Restaurants Merchant 130,0,49.0,6003.62,63.0,99.93,25.0,19.0,15.0,100.0,Critical,49,0,49,0.019223,0.00162982,60.71,Review high-risk graph entity and connected transaction network.
CENTRALITY-000011,MER000209,Merchant,Gambling Merchant 209,0,46.0,8262.01,86.0,99.82,46.0,9.0,45.0,100.0,Critical,46,0,46,0.018046,0.00176413,60.71,Review high-risk graph entity and connected transaction network.
CENTRALITY-000012,MER000057,Merchant,Money Transfer Merchant 057,0,40.0,23545.13,96.0,98.3,38.0,8.0,24.0,100.0,Critical,40,0,40,0.015692,0.00194558,60.7,Review high-risk graph entity and connected transaction network.
CENTRALITY-000013,MER000071,Merchant,Luxury Goods Merchant 071,0,46.0,13938.64,100.0,99.23,46.0,8.0,17.0,100.0,Critical,45,0,45,0.017654,0.00168811,60.69,Review high-risk graph entity and connected transaction network.
CENTRALITY-000014,MER000080,Merchant,Cash Withdrawal Merchant 080,0,48.0,7333.27,95.0,96.93,46.0,4.0,22.0,100.0,Critical,46,0,46,0.018046,0.00158945,60.68,Review high-risk graph entity and connected transaction network.
CENTRALITY-000015,MER000155,Merchant,Subscription Merchant 155,0,50.0,6824.42,63.0,98.55,23.0,10.0,16.0,100.0,Critical,50,0,50,0.019616,0.00138019,60.67,Review high-risk graph entity and connected transaction network.
CENTRALITY-000016,MER000010,Merchant,Luxury Goods Merchant 010,0,41.0,19650.98,100.0,100.0,39.0,5.0,18.0,100.0,Critical,41,0,41,0.016085,0.00173446,60.67,Review high-risk graph entity and connected transaction network.
CENTRALITY-000017,MER000047,Merchant,Groceries Merchant 047,0,51.0,17865.07,91.0,99.62,32.0,11.0,17.0,100.0,Critical,50,0,50,0.019616,0.00135176,60.66,Review high-risk graph entity and connected transaction network.
CENTRALITY-000018,MER000229,Merchant,Restaurants Merchant 229,0,47.0,14359.33,85.0,99.53,12.0,5.0,7.0,100.0,Critical,47,0,47,0.018439,0.00146335,60.66,Review high-risk graph entity and connected transaction network.
CENTRALITY-000019,MER000249,Merchant,Crypto Exchange Merchant 249,0,43.0,19689.3,89.0,97.98,42.0,4.0,20.0,100.0,Critical,43,0,43,0.016869,0.00160625,60.66,Review high-risk graph entity and connected transaction network.
CENTRALITY-000020,MER000113,Merchant,Hotels Merchant 113,1,43.0,12440.92,93.0,99.06,43.0,9.0,5.0,100.0,Critical,42,0,42,0.016477,0.00163545,60.66,Review high-risk graph entity and connected transaction network.
CENTRALITY-000021,MER000239,Merchant,Crypto Exchange Merchant 239,0,43.0,4960.29,94.0,99.18,42.0,5.0,16.0,100.0,Critical,43,0,43,0.016869,0.00156042,60.65,Review high-risk graph entity and connected transaction network.
CENTRALITY-000022,MER000235,Merchant,Restaurants Merchant 235,0,42.0,13690.38,66.0,99.2,21.0,8.0,18.0,100.0,Critical,42,0,42,0.016477,0.00162214,60.65,Review high-risk graph entity and connected transaction network.
CENTRALITY-000023,MER000199,Merchant,Travel Merchant 199,0,38.0,10390.98,66.0,99.68,21.0,11.0,10.0,100.0,Critical,37,0,37,0.014515,0.00180592,60.65,Review high-risk graph entity and connected transaction network.
CENTRALITY-000024,MER000085,Merchant,Hotels Merchant 085,0,46.0,5912.76,78.0,99.96,22.0,12.0,11.0,100.0,Critical,45,0,45,0.017654,0.00144025,60.64,Review high-risk graph entity and connected transaction network.
CENTRALITY-000025,MER000182,Merchant,Travel Merchant 182,1,39.0,6373.0599999999995,93.0,97.4,39.0,8.0,4.0,100.0,Critical,39,0,39,0.0153,0.00167979,60.64,Review high-risk graph entity and connected transaction network.
CENTRALITY-000026,MER000174,Merchant,Gambling Merchant 174,0,52.0,4729.35,100.0,98.62,52.0,4.0,19.0,100.0,Critical,52,0,52,0.0204,0.00111856,60.63,Review high-risk graph entity and connected transaction network.
CENTRALITY-000027,MER000233,Merchant,Money Transfer Merchant 233,0,40.0,13737.349999999999,96.0,95.99,37.0,4.0,18.0,100.0,Critical,39,0,39,0.0153,0.00160042,60.63,Review high-risk graph entity and connected transaction network.
CENTRALITY-000028,MER000050,Merchant,Luxury Goods Merchant 050,0,47.0,2098.58,100.0,99.14,46.0,3.0,21.0,100.0,Critical,47,0,47,0.018439,0.00124864,60.62,Review high-risk graph entity and connected transaction network.
CENTRALITY-000029,MER000038,Merchant,Cash Withdrawal Merchant 038,0,41.0,13061.51,87.0,99.33,38.0,11.0,24.0,100.0,Critical,41,0,41,0.016085,0.00147134,60.62,Review high-risk graph entity and connected transaction network.
CENTRALITY-000030,MER000101,Merchant,Gambling Merchant 101,0,40.0,18002.95,96.0,99.32,39.0,4.0,17.0,100.0,Critical,40,0,40,0.015692,0.00147432,60.61,Review high-risk graph entity and connected transaction network.
CENTRALITY-000031,MER000198,Merchant,Pharmacy Merchant 198,1,47.0,4859.38,100.0,99.94,47.0,35.0,15.0,100.0,Critical,45,0,45,0.017654,0.00125742,60.6,Review high-risk graph entity and connected transaction network.
CENTRALITY-000032,MER000029,Merchant,Money Transfer Merchant 029,0,40.0,10084.92,91.0,99.01,40.0,1.0,18.0,100.0,Critical,40,0,40,0.015692,0.00143266,60.6,Review high-risk graph entity and connected transaction network.
CENTRALITY-000033,MER000118,Merchant,Luxury Goods Merchant 118,0,32.0,17618.3,75.0,99.67,30.0,12.0,15.0,100.0,Critical,32,0,32,0.012554,0.00173737,60.6,Review high-risk graph entity and connected transaction network.
CENTRALITY-000034,MER000145,Merchant,Crypto Exchange Merchant 145,0,44.0,8423.82,100.0,99.83,44.0,8.0,44.0,100.0,Critical,44,0,44,0.017262,0.00121249,60.59,Review high-risk graph entity and connected transaction network.
CENTRALITY-000035,MER000082,Merchant,Money Transfer Merchant 082,0,41.0,13751.01,83.0,94.3,39.0,3.0,20.0,99.85,Critical,40,0,40,0.015692,0.00181763,60.59,Review high-risk graph entity and connected transaction network.
CENTRALITY-000036,MER000013,Merchant,Crypto Exchange Merchant 013,0,34.0,15058.07,100.0,97.0,33.0,4.0,18.0,100.0,Critical,34,0,34,0.013339,0.00154613,60.58,Review high-risk graph entity and connected transaction network.
CENTRALITY-000037,MER000083,Merchant,Cash Withdrawal Merchant 083,0,45.0,2328.15,77.0,99.76,45.0,12.0,42.0,100.0,Critical,43,0,43,0.016869,0.00113988,60.57,Review high-risk graph entity and connected transaction network.
